eHRAF_name,dplace_name,language,latitude,longitude,celibacy_cat,celibacy_cat_rev,marital_comp,marital_comp_rev,marital_comp_dplace,inheritance_dplace,marriage_trans,marriage_trans_rev,marriage_trans_dplace,class,infanticide_ord,infanticide_sex,religion,region
Gusii,Gusii,GUSII,-1,35,0,0,1,1,5,7,2,2,1,1,0,0,3,Africa
Hadza,Hadza,HADZA,-3,35,0,0,1,1,2,1,2,2,1,1,2,1,1,Africa
Haida,Haida,HAIDA,54,-132,0,0,1,1,2,3,2,2,2,4,0,0,1,North America
Haitians,Haitians,HAITIAN_CREOLE,18.41,-72.17,0,0,1,1,2,5,1,1,6,5,2,1,3,Middle America and the Caribbean
Han Chinese,Chekiang,WU_SUZHOU,31,120,2,2,2,2,1,7,4,4,7,5,2,3,4,Asia
Hausa,Maguzawa,HAUSA,12,10,0,0,1,1,5,6,2,2,1,4,2,1,2,Africa
Hausa,Zazzagawa Hausa,HAUSA_2,11,8,0,0,1,1,5,5,2,2,1,5,2,1,2,Africa
Hausa,Hausa Kanawa,HAUSA_3,12,9,0,0,1,1,5,7,2,2,1,4,2,1,2,Africa
Hawaiians,Hawaiians,HAWAIIAN,19.89,-155.83,0,0,1,1,2,5,1,1,6,4,2,3,1,Oceania
Hazara,Hazara,EASTERN_FARSI,35,66,0,0,1,1,2,7,2,2,1,2,NA,NA,2,Asia
Hidatsa,Hidatsa,HIDATSA,47,-101,0,0,1,1,3,3,1,1,6,1,NA,NA,1,North America
Hopi,Hopi,HOPI,36,-111,0,0,2,2,1,3,1,1,6,1,0,0,1,North America
Huichol,Huichol,HUICHOL,22,-105,0,0,1,1,2,6,1,1,6,2,NA,NA,1,Middle America and the Caribbean
Huron,Huron,WENDAT_HURON,44,-78,0,0,2,2,1,1,1,1,6,2,NA,NA,1,North America
Iban,Iban,IBAN,2,112,0,0,2,2,1,5,1,1,6,1,2,1,1,Asia
Ifugao,Ifugao,IFUGAO_BATAD,17,121,0,0,2,2,1,5,2,2,1,2,NA,NA,1,Asia
Igbo,Igbo,IGBO,6,7,0,0,1,1,5,7,2,2,1,1,2,1,1,Africa
Igbo,Afikpo,IGBO_2,6,8,0,0,1,1,5,7,2,2,1,2,2,1,1,Africa
Ila,Ila,ILA,-16,27,0,0,1,1,5,1,2,2,1,2,2,1,1,Africa
Imperial Romans,Ancient Romans,LATIN,42,12,0,0,2,2,1,5,3,3,7,5,2,1,1,Europe
Inca,Inca,CUZCO_GNL,-13,-72,3,3,1,2,1,1,2,1,6,5,NA,NA,1,South America
Ingalik,Deg Xit'an,HOLIKACHUK,62,-160,0,0,1,1,2,1,1,1,6,2,2,1,1,North America
Inner Mongolia,NA,KALAQIN,44.0935,114.9042,2,2,1,1,2,7,4,4,4,4,2,1,4,Asia
Iran,Iranians,PERSIAN_Iranians,36,52,0,0,1,1,2,4,2,2,1,3,NA,NA,2,Middle East
Iroquois,Seneca,SENECA,43,-77,0,0,2,2,1,3,1,1,6,1,NA,NA,1,North America
Island Carib,Callinago,ISLAND_CARIB,15.41,-61.27,0,0,1,1,2,1,2,2,2,1,NA,NA,1,Middle America and the Caribbean
Israelites,Hebrews,BIBLICAL_HEBREW,32,35,0,0,1,1,2,7,2,2,1,4,2,3,1,Middle East
Italian Americans,NA,ITALIAN,40.7128,-74.006,1,1,2,2,1,5,3,3,7,5,NA,NA,3,North America
Italian Canadians,NA,ITALIAN_Italian_Canadians,43.7,-79.3832,3,3,2,2,1,5,3,3,7,5,NA,NA,3,North America
Javanese,Javanese,MALANG,-7,110,0,0,1,1,2,5,1,1,6,5,NA,NA,2,Asia
Jivaro,Shuar,JIVARO_SHUAR,-3,-78,0,0,1,1,6,1,2,2,2,1,2,1,1,South America
Kachin,Kachin,JINGPHO,26,97,0,0,1,1,2,7,2,2,1,4,NA,NA,1,Asia
Kaffa,Kafa,KEFA,7,36,0,0,1,1,6,7,2,2,1,4,NA,NA,1,Africa
Kanak,Ajie,AJIE,-21.37,165.47,0,0,1,1,2,1,5,5,5,1,2,NA,1,Oceania
Kanuri,Kanuri,KANURI,12,13,0,0,1,1,5,5,2,2,1,4,0,0,2,Africa
Kapauku,Mee,KAPAUKU,-4,136,0,0,1,1,6,7,2,2,1,2,NA,NA,1,Oceania
Karaja,Carajá,KARAJA,-12,-50,0,0,1,1,2,1,1,1,6,1,2,1,1,South America
Karen,Karen,KAREN_PWO_WESTERN,17.12,97.19,2,2,1,1,1,5,1,1,6,2,0,0,4,Asia
Kashmiri,Kashmiri,KASHMIRI,34,75,0,0,1,1,2,7,2,2,1,5,NA,NA,2,Asia
Kaska,Kaska,KASKA,59,-128,0,0,2,2,1,1,2,2,2,1,2,3,1,North America
Katab,Katab,TYAP,10,8,0,0,1,1,5,7,2,2,3,1,NA,NA,1,Africa
Katab,Kagoro,KAGOMA,10,8,0,0,1,1,5,7,2,2,1,1,NA,NA,1,Africa
Kazakh,Kazakh,KAZAKH,48,70,0,0,1,1,6,1,2,2,1,4,2,1,2,Asia
Kerala,Kerala,MALAYALAM,11,76,1,1,3,3,2,3,3,3,6,5,0,0,5,Asia
Khasi,Khasi,KHASI,26,92,0,0,2,2,1,3,1,1,6,4,NA,NA,3,Asia
Khoi,Nama,NAMA,-26,18,0,0,1,1,2,1,4,4,4,2,2,NA,1,Africa
Kimam,Kimam,KIMAGHAMA,-7.52,138.46,0,0,1,1,2,7,5,5,5,1,2,1,1,Oceania
Kiribati,Makin,KIRIBATI,3.38,172.99,0,0,1,1,2,5,4,4,4,4,2,1,3,Oceania
Klamath,Klamath,KLAMATH,43,-122,0,0,1,1,2,1,4,4,4,2,0,0,1,North America
Kogi,Cágaba,KOGUI,11,-74,0,0,1,1,2,7,2,2,2,2,2,NA,1,South America
Kol,Kol,MUNDARI,22,85,0,0,1,1,2,7,2,2,1,2,NA,NA,5,Asia
Konso,Konso,KOMSO,6,37,0,0,1,1,2,7,1,1,6,2,NA,NA,1,Africa
Korea,Koreans,KOREAN,38.134147,126.960754,1,3,1,2,1,7,4,3,6,5,1,3,4,Asia
Koryak,Koryak,KORYAK,61.99,164.24,0,0,1,1,2,7,2,2,2,2,2,1,1,Asia
Kpelle,Kpelle,KPELLE,7,-9,0,0,1,1,6,7,2,2,1,2,0,0,1,Africa
Kurd,Kurd,KURDISH_CENTRAL,32,44,0,0,1,1,2,7,2,2,1,4,0,0,2,Middle East
Kutenai,Kutenai,KUTENAI,50,-117,0,0,1,1,2,1,1,1,6,1,NA,NA,1,North America
Kwoma,Kwoma,KWOMA,-4,142,0,0,1,1,6,7,2,2,1,1,2,1,3,Oceania
Lakeshore Tonga,Tonga,M64_TONGA_2,-12,34,0,0,1,1,2,2,2,2,1,1,NA,NA,3,Africa
Lapps,Sami,NORTHERN_SAAMI,68,22,0,0,2,2,1,7,1,1,6,2,2,1,3,Europe
Lau,Lau,FIJIAN_2,-17.74,-179.31,0,0,1,1,3,1,4,4,4,2,NA,NA,3,Oceania
Lepcha,Lepcha,LEPCHA,28,89,0,0,1,1,2,7,2,2,1,2,0,0,4,Asia
Lesu,Lesu,MANDARA,-3.06,151.66,0,0,1,1,2,1,2,2,1,1,0,0,1,Oceania
Libyan Bedouin,Saadi,ARABIC_LIBYAN_SPOKEN,30,28,0,0,1,1,2,5,2,2,1,3,NA,NA,2,Africa
Libyan Bedouin,Sanusi,ARABIC_LIBYAN_SPOKEN_Sanusi,31,22,0,0,1,1,6,5,2,2,1,3,NA,NA,2,Africa
Lozi,Lozi,SILOZI,-15,23,0,0,1,1,5,7,2,2,3,4,NA,NA,1,Africa
Luguru,Luguru,LUGURU,-8,38,0,0,1,1,2,2,2,2,1,1,2,1,1,Africa
Luo,Luo,LUO,-1,34,0,0,1,1,4,7,2,2,1,2,2,1,3,Africa
Malays,Malays,MALAY,5,103,0,0,1,1,2,7,2,2,1,4,NA,NA,2,Asia
Malekula,Seniang,SOUTH_WEST_BAY_BENOUR,-16.51,167.47,0,0,1,1,3,7,2,2,1,2,2,3,3,Oceania
Mam Maya,Mam,MAM_CABRICAN,15,-92,0,0,2,2,1,7,2,2,3,2,NA,NA,3,Middle America and the Caribbean
Manchu,Manchu,MANCHU,45,126,1,1,1,1,1,7,2,4,1,2,2,1,4,Asia
Manus,Manus,SIVISA_TITAN,-2,147,0,0,1,1,2,1,4,4,4,2,2,NA,1,Oceania
Mao,Mao,HOZO,9,35,0,0,1,1,5,6,5,5,5,1,NA,NA,2,Africa
Maori,Māori,MAORI,-38.41,176.31,0,0,1,1,6,7,1,1,6,4,2,NA,1,Oceania
Mara,Maras,LAKHER_MARA,22,93,0,0,1,1,2,7,2,2,1,4,NA,NA,1,Asia
Maricopa,Maricopa,MARICOPA,33,-113,0,0,1,1,2,5,1,1,6,1,2,3,1,North America
Marquesas,Marquesans,NORTH_MARQUESAN,-8.9,-140.08,0,0,3,3,7,5,1,1,6,4,0,0,3,Oceania
Marshallese,Marshallese - Jaluit atoll,MARSHALLESE_Jaluit_atoll,6.28,169.49,0,0,1,1,2,3,1,1,6,4,2,1,3,Oceania
Marshalls,Bikinians,MARSHALLESE,11.7,165.29,0,0,2,2,1,3,1,1,6,1,2,1,3,Oceania
Marshalls,Majuro,MARSHALLESE_Majuro,7.09,171.13,0,0,2,2,1,3,1,1,6,4,2,1,3,Oceania
Masa,Masa,MASANA,10,16,0,0,1,1,5,7,2,2,1,1,NA,NA,1,Africa
Masai,Maasi,MAASAI,-2,36,0,0,1,1,5,7,2,2,1,1,2,1,1,Africa
Mataco,Wichí,MATACO,-24,-63,0,0,1,1,2,1,2,2,2,1,2,1,1,South America
Mbundu,Mbundu,UMBUNDU,-12,16,0,0,1,1,5,7,2,2,1,4,NA,NA,1,Africa
Mbuti,Mbuti,BIRA_BIP,2,28,0,0,1,1,2,1,5,5,5,1,2,1,1,Africa
Mende,Mende,MENDE,8,-11,0,0,1,1,5,6,2,2,1,4,1,1,1,Africa
Mentawaians,Mentaweians,MENTAWAI,-2.93,100.23,0,0,2,2,1,3,2,2,2,1,2,NA,1,Asia
Mescalero Apache,Mescalero,CHIRICAHUA_Mescalero,33,-103,0,0,1,1,3,NA,1,1,6,1,2,1,1,North America
Miao,Miao,SUYONG_HMONG,26,107,0,0,1,1,2,7,2,2,1,1,2,1,1,Asia
Mi'kmaq,Mi'kmaq,MICMAC,47,-65,0,0,1,1,2,1,2,2,2,1,NA,NA,1,North America
Miskito,Miskito,MISKITO,14.766,-84.089,0,0,1,1,2,1,2,2,3,1,2,3,3,Middle America and the Caribbean
Mongo,Mongo,MONGO_OPALA,1,22,0,0,1,1,5,6,2,2,1,1,NA,NA,1,Africa
Mongo,Nkundo,MONGO,0,20,0,0,1,1,5,6,2,2,1,1,NA,NA,1,Africa
Mongolia,Khalka,KHALKHA_MONGOLIAN,46,97,2,2,1,1,1,7,2,2,1,4,NA,NA,4,Asia
Monguor,Tu,MONGUOR,39,100,2,2,1,1,2,7,2,2,1,4,2,3,4,Asia
Montagnais,Montagnais,MONTAGNAIS,48,-72,0,0,1,1,2,7,2,2,2,1,NA,NA,1,North America
Montagnais,Naskapi,NASKAPI,58,-70,0,0,1,1,2,1,1,1,6,1,NA,NA,1,North America
Montenegrins,NA,SERBOCROATIAN_Montenegrins,42.4304,18.9215,2,2,1,1,2,7,1,1,6,5,2,1,3,Europe
Mossi,Mossi (Yatenga),MOORE,13,-2,0,0,1,1,5,6,2,2,1,5,2,1,1,Africa
Mossi,Mossi (Ouagadougou),MOORE_Mossi_Ouagadougou,12,-2,0,0,1,1,5,7,2,2,1,4,2,1,1,Africa
Mundurucu,Munduruku,MUNDURUKU,-6,-58,0,0,1,1,2,1,2,2,2,1,2,1,1,South America
Nambicuara,Nambikwara,NAMBIKWARA,-12,-59,0,0,1,1,2,1,1,1,6,1,NA,NA,1,South America
Natchez,Natchez,NATCHEZ,32,-91,0,0,1,1,3,1,1,1,6,3,2,1,1,North America
Navaho,Navajo,NAVAHO,37,-110,0,0,1,1,4,1,2,2,3,1,2,1,1,North America
Ndyuka,Ndyuka,AUKAN,5,-54,0,0,1,1,4,1,1,1,6,1,NA,NA,3,South America
Nganasan,Nganasan,NGANASAN,72,90,0,0,1,1,2,1,2,2,1,1,NA,NA,1,Asia
Ngonde,Ngonde,NKHONDE,-10,34,0,0,1,1,4,6,2,2,1,4,NA,NA,1,Africa
Nicobarese,Nicobarese,CAR,9.17,92.77,0,0,1,1,2,1,1,1,6,1,NA,NA,1,Asia
Nivkh,Nivkh,GILYAK,53,142,0,0,1,1,2,1,2,2,1,1,2,3,3,Asia
Nootka,Makah,MAKAH,48.33,-124.62,0,0,1,1,2,1,4,4,4,4,NA,NA,1,North America
Northern Paiute,Wadadokado,NORTHERN_PAIUTE,43,-119,0,0,1,1,2,1,1,1,6,1,2,NA,1,North America
Northern Paiute,Kidutokado,NORTHERN_PAIUTE_Kidutokado,42,-120,0,0,1,1,3,1,2,2,2,1,2,NA,1,North America
Northern Paiute,Wadatkuht,NORTHERN_PAIUTE_Wadatkuht,41,-120,0,0,2,2,1,1,1,1,6,1,2,NA,1,North America
Northern Paiute,Kuyuidokado,NORTHERN_PAIUTE_Kuyuidokado,40,-119,0,0,1,1,2,1,1,1,6,1,2,NA,1,North America
Nuba,Otoro,UTORO,12,31,0,0,1,1,5,7,2,2,1,2,2,1,2,Africa
Nubians,Barabra,KENZI,23,33,0,0,1,1,2,5,2,2,1,2,NA,NA,2,Africa
Nuer,Nuer,NUER,8,32,0,0,1,1,5,7,2,2,1,1,0,0,1,Africa
Nupe,Nupe,NUPE,9,6,0,0,1,1,5,6,2,2,1,5,NA,NA,1,Africa
Nuu-chah-nulth,Nuu chah nulth,NOOTKA,49.16,-125.85,0,0,1,1,2,1,4,4,4,4,NA,NA,1,North America
Nuxalk,Nuxalk,BELLA_COOLA,52,-127,0,0,1,1,6,1,4,4,4,4,2,1,1,North America
Nyakyusa and Ngonde,Nyakyusa,NYAKYUSA,-9,34,0,0,1,1,5,6,2,2,1,1,NA,NA,1,Africa
Ojibwa,Northern Saulteaux,SAULTEAUX,52,-98,0,0,1,1,2,NA,1,1,6,1,2,3,3,North America
Ojibwa,Pekangekum,OJIBWA_SEVERN,52,-94,0,0,1,1,2,7,1,1,6,1,2,3,3,North America
Ojibwa,Nipigon,CHIPPEWA,50,-88,0,0,1,1,2,NA,1,1,6,1,2,3,3,North America
Ojibwa,Minnesota Ojibwa,CHIPPEWA_Minnesota_Ojibwa,49,-96,0,0,1,1,2,NA,1,1,6,1,2,3,3,North America
Ojibwa,Rainy River Ojibwe,CHIPPEWA_Rainy_River,49,-92,0,0,1,1,2,5,2,2,1,1,2,3,3,North America
Ojibwa,Eastern Ojibwa,OJIBWA_EASTERN,46,-85,0,0,1,1,2,1,2,2,2,1,2,3,3,North America
Ojibwa,Bungi,SAULTEAUX_Bungi,51,-100,0,0,1,1,2,1,1,1,6,1,2,3,3,North America
Okayama,Japanese,JAPANESE_KYOTO,35,136,1,3,2,2,1,7,4,3,4,5,2,2,4,Asia
Okiek,Dorobo,SOGOO,0,36,0,0,2,2,1,7,2,2,1,1,2,1,1,Africa
Okinawa,Okinawans,AKAJIMA_OKINAWAN,26.16,127.8,3,3,2,1,1,7,2,2,3,4,2,3,1,Asia
Omaha,Omaha,OMAHA_PONCA,41,-96,0,0,1,1,2,7,4,4,4,1,2,1,1,North America
Ona,Ona,ONA,-54,-69,0,0,1,1,2,1,1,1,6,1,0,0,1,South America
O'Odham,Tohono O'odham,TOHONO_OODHAM,31,-112,0,0,1,1,3,7,1,1,6,1,NA,NA,1,North America
