eHRAF_name,dplace_name,language,latitude,longitude,celibacy_cat,celibacy_cat_rev,marital_comp,marital_comp_rev,marital_comp_dplace,inheritance_dplace,marriage_trans,marriage_trans_rev,marriage_trans_dplace,class,infanticide_ord,infanticide_sex,religion,region
Tapirape,Tapirapé,TAPIRAPE,-11,-52,0,0,2,2,1,1,1,1,6,1,2,1,1,South America
Tarahumara,Tarahumara,CENTRAL_TARAHUMARA,28,-107,0,0,1,1,2,5,2,2,2,2,2,1,1,Middle America and the Caribbean
Tehuelche,Tehuelche,TEHUELCHE,-46,-70,0,0,1,1,2,1,4,4,4,1,NA,NA,1,South America
Telugu,Telugu,TELUGU,18,79,2,2,2,2,2,7,4,4,7,5,NA,NA,5,Asia
Terena,Terena,TERENA,-21,-58,0,0,1,1,2,1,1,1,6,4,2,3,1,South America
Tewa,San Ildefonso,TEWA_ARIZONA,36,-106,0,0,2,2,1,5,1,1,6,1,NA,NA,1,North America
Tibetans,Central Tibetans,TIBETAN_CENTRAL,30,91,1,1,3,3,7,7,4,4,7,5,2,1,4,Asia
Tikopia,Tikopia,TIKOPIA,-12.29,168.83,0,0,1,1,5,7,4,4,4,4,2,2,3,Oceania
Tinputz,Kurtatchi,TEOP,-5.6,154.91,0,0,1,1,4,1,2,2,1,4,2,NA,1,Oceania
Tiv,Tiv,TIV,7,9,0,0,1,1,5,1,5,5,5,1,NA,NA,1,Africa
Tiwi,Tiwi,TIWI,-11.56,130.81,0,0,1,1,6,1,2,2,1,1,2,2,1,Oceania
Tlingit,Tlingit,TLINGIT,58.12,-133.92,0,0,1,1,2,1,4,4,4,4,2,3,1,North America
Tobelo,Tobelorese,TOBELO_2,1,128,0,0,2,2,1,5,2,2,1,1,NA,NA,1,Asia
Toda,Toda,TODA,12,77,0,0,3,3,7,1,2,2,3,1,2,3,1,Asia
Tonga,Plateau Tonga,M64_TONGA_1,-18,28,0,0,1,1,5,3,2,2,1,1,NA,NA,3,Africa
Tongans,Tongans,TONGAN,-19.74,-175.07,3,3,2,2,2,6,4,1,6,4,0,0,3,Oceania
Toradja,Toradja,BAREE,-2,121,0,0,2,2,1,5,2,2,1,2,2,NA,1,Asia
